anon_user_id,locale,timezone,access_group_id,registration_time,last_access_time,last_access_ip,email_announcement,email_forum,in_signature_track,wishes_proctored_exam,email_review,deleted,signature_track_register_time
0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a,en_US,America/Los_Angeles,4,1362341603,1362341608,117.200.129.140,1,1,FALSE,,1,0,0
1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b,en_US,Pacific/Honolulu,4,1362385007,0,,1,1,FALSE,,1,1,0
2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c,en_US,America/Los_Angeles,4,1362048279,1370023143,101.63.220.76,1,1,FALSE,,1,0,0
3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d,en_US,America/Los_Angeles,4,1362995426,1371769102,"101.212.146.148, 37.228.105.209",1,1,FALSE,,1,0,0
4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e,en_US,America/Los_Angeles,4,1355860756,1368870565,82.66.88.100,1,1,FALSE,,1,1,0
5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f,en_US,America/Los_Angeles,4,1352707977,1362232656,"unknown, 93.186.30.243, 217.212.230.80",1,1,FALSE,,1,0,0
6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g6g,en_US,America/Los_Angeles,4,1362546994,1362547022,108.225.134.37,1,1,FALSE,,1,0,0
7h7h7h7h7h7h7h7h7h7h7h7h7h7h7h7h7h7h7h7h,en_US,America/Los_Angeles,4,1361010995,0,,1,1,FALSE,,1,0,0
8i8i8i8i8i8i8i8i8i8i8i8i8i8i8i8i8i8i8i8i,en_US,Asia/Kolkata,4,1359301023,1362969333,117.195.164.170,1,1,FALSE,,1,0,0
9j9j9j9j9j9j9j9j9j9j9j9j9j9j9j9j9j9j9j9j,en_US,Asia/Tehran,4,1351942162,1369671701,142.54.160.86,1,1,FALSE,,1,0,0
